"FACILITY","ADDRESS","LAST INSPECTED","VIOLATIONS","TOTAL # CRITICAL VIOLATIONS","TOTAL #CRIT.  NOT CORRECTED ","TOTAL # NONCRITICAL VIOLATIONS","DESCRIPTION"," LOCAL HEALTH DEPARTMENT","COUNTY","FACILITY ADDRESS","CITY","ZIP CODE","NYSDOH GAZETTEER (1980)","MUNICIPALITY","OPERATION NAME","PERMIT EXPIRATION DATE","PERMITTED  (D/B/A)","PERMITTED  CORP. NAME","PERM. OPERATOR LAST NAME","PERM. OPERATOR FIRST NAME","NYS HEALTH OPERATION ID","INSPECTION TYPE","INSPECTION COMMENTS","FOOD SERVICE FACILITY STATE","Location1"
"ANCIENT ORDER OF HIBERNIANS","79 VAN ANDEN STREET,  AUBURN","03/08/2024","Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces;","0","0","1","Food Service Establishment - Food Service Establishment","Cayuga County","CAYUGA","79 VAN ANDEN STREET","AUBURN","13021","050100","AUBURN","ANCIENT ORDER OF HIBERNIANS","03/31/2026",,,"Of Hibernians","Ancient Order","260333","Inspection",,"NY","(42.936559, -76.573614)"
"METRO PLAZA APARTMENTS","110 Chenango  PLACE,  BINGHAMTON","03/05/2025","No violations found.","0","0","0","Food Service Establishment - Restaurant","Broome County","BROOME","110 Chenango  PLACE","BINGHAMTON","13901","030100","BINGHAMTON","METRO PLAZA APARTMENTS","05/31/2026",,"METRO PLAZA APTS INC","SMITH","CONANT","256650","Inspection",,"NY","(42.10175, -75.91054)"
"MADAME OARS","584 Upper Court STREET,  BINGHAMTON","06/18/2025","Item 11D-   Non food contact surfaces of equipment not clean;","0","0","1","Food Service Establishment - Tavern","Broome County","BROOME","584 Upper Court STREET","BINGHAMTON","13904","035700","KIRKWOOD","MADAME OARS","03/31/2026",,"ROCKWELL & ASSOC., INC.","BRAUNSTIEN","ED","256851","Inspection",,"NY","(42.104575, -75.855269)"
"Red's Best Pancake House","2749 CLYMER SHERMAN ROAD,  SHERMAN","03/01/2025","No violations found.","0","0","0","Food Service Establishment - Food Service Establishment","Chautauqua County","CHAUTAUQUA","2749 CLYMER SHERMAN ROAD","SHERMAN","14781","063100","SHERMAN","Red's Best Pancake House","03/31/2026",,,"REDLECKI","DARL","535427","Inspection",,"NY","(42.121167, -79.618387)"
"Valentine's Place","12 WATER  STREET,  FREDONIA","11/24/2023","No violations found.","0","0","0","Food Service Establishment - Tavern","Chautauqua County","CHAUTAUQUA","12 WATER  STREET","FREDONIA","14063","062900","POMFRET","Valentine's Place","12/31/2026",,,"Valentine","Lisa","264200","Inspection",,"NY","(42.439624, -79.330922)"
"OLIVE GARDEN RESTAURANT #1452","3288 CHAMBERS ROAD,  HORSEHEADS","06/09/2025","Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked); Item 10B-   Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish); Item 12C-   Plumbing and sinks not properly sized, installed, maintained; equipment and floors not properly drained; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces;","0","0","4","Food Service Establishment - Restaurant","Chemung County","CHEMUNG","3288 CHAMBERS ROAD","HORSEHEADS","14845","075200","BIG FLATS","OLIVE GARDEN RESTAURANT #1452","03/15/2026",,"N and D RESTAURANTS, LLC.","LYONS","COLLEEN","265452","Inspection","Observed staff wearing gloves and using tongs to prevent bare hand contact with ready to eat food items such as bread sticks. Advised staff to wash hands between glove changes and after any source of contamination such as eating, drinking, smoking and or using the rest room. Hand wash sinks were equipped with warm running water, soap, paper towels and employee hand wash signage. A digital probe thermometer was available to ensure potentially hazardous food (PHF) items are such as raw shrimp are cooked to required temperature of 140F or above (Actual 157F). Facility is utilizing waiver for cook/ chill procedure of food items such as commercially bagged soups and sauces time and temperature logs observed to be up to date for the day of June 9, 2025. Observed PHF items such as Carbonara sauce (actual 150F) being hot held at required temperatures of 140F or above. Observed PHF items such as raw scallops (actual 38F) in pull out drawer below the gas stove and meatballs (actual 39F) in walk in cooler being cold held at the required temperature of 45F or below. Advised staff to work in small manageable quantities and place any food items back into hot/ cold holding. All food items in storage were covered with a lid or food service film to prevent contamination. Quaternary ammonia test strips were available to verify quaternary ammonia sanitizing solution was at a minimum strength of 200ppm to sanitize both dishware/ utensils and food contact surfaces (actual 300ppm) in red sanitizing wiping cloth bucket. Advised staff to wash, rinse and sanitize food contact surfaces such as knives and cutting boards between food items to prevent cross contamination.","NY","(42.159139, -76.878059)"
"MARK'S PIZZA","3017 MAIN STREET,  VALATIE","11/15/2023","Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked);","0","0","1","Food Service Establishment - Restaurant","Columbia County","COLUMBIA","3017 MAIN STREET","VALATIE","12184","102300","KINDERHOOK","MARK'S PIZZA","03/31/2026",,"GRENCI ENTERPRISES","GRENCI","SUE","270304","Inspection","well kept and clean restaurant. All storage areas were clean, coolers were well kept. Temps on food were all in the collect range.|thank you Mike Roberts","NY","(42.413438, -73.677552)"
"HILLSDALE HOUSE","1 Anthony  STREET,  HILLSDALE","10/03/2024","Item  1H-  Critical Violation [RED] Food from unapproved source, spoiled, adulterated on premises.; Item  3C-  Critical Violation [RED] Food workers do not use proper utensils to eliminate bare hand contact with cooked or prepared foods.; Item 11B-   Wiping cloths dirty, not stored properly in sanitizing solutions; Item 11C-   Food contact surfaces not washed, rinsed and sanitized after each use and following any time of operations when contamination may have occurred;","2","0","2","Food Service Establishment - Restaurant","Columbia County","COLUMBIA","1 Anthony  STREET","HILLSDALE","12529","106100","HILLSDALE","HILLSDALE HOUSE","03/31/2026",,"NOBLETOWN NY LLC","BARBATO","CARMEN","271084","Inspection",,"NY","(42.181839, -73.51123)"
"GALLUP INN","ROUTE 20,  NEW LEBANON","07/18/2025","No violations found.","0","0","0","Food Service Establishment - Tavern","Columbia County","COLUMBIA","ROUTE 20","NEW LEBANON","12125","106400","NEW LEBANON","GALLUP INN","12/31/2025",,"GALLUP INN INC.","GALLUP","NICOLE","271427","Inspection",,"NY","(42.488483, -73.4552)"
"AVON PRIMARY SCHOOL CAFETERIA","161 CLINTON STREET,  AVON","03/06/2025","No violations found.","0","0","0","Institutional Food Service - School K-12 Food Service","Livingston County","LIVINGSTON","161 CLINTON STREET","AVON","14414","255000","AVON","AVON PRIMARY SCHOOL CAFETERIA","11/01/2025",,,"CENTRAL SCHOOL","AVON","279535","Inspection","Hot and cold holding temperatures acceptable at time of inspection. Kitchen very clean. No violations noted.","NY","(42.90822, -77.74106)"
"ONEIDA FAMILY YMCA - SACC PROGRAM","701 SENECA STREET,  ONEIDA","10/22/2024","No violations found.","0","0","0","Institutional Food Service - Day Care Center Food Service","Madison County","MADISON","701 SENECA STREET","ONEIDA","13421","260100","ONEIDA","ONEIDA FAMILY YMCA - SACC PROGRAM","08/31/2025",,"YMCA  OF THE GREATER TRI-VALLEY","LEO","HENRY","443843","Inspection","Satisfactory inspection","NY","(43.0752, -75.6514)"
"THEA BOWMAN HOUSE CHILD CARE","309 GENESEE STREET,  UTICA","06/30/2025","Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces;","0","0","1","Institutional Food Service - Day Care Center Food Service","Oneida County","ONEIDA","309 GENESEE STREET","UTICA","13501","320203","UTICA","THEA BOWMAN HOUSE CHILD CARE","12/31/2025",,"THEA BOWMAN HOUSE, INC.","DOMINGUE","JANE","290834","Inspection",,"NY","(43.097141, -75.23984)"
"APPLEBEE'S NEIGHBORHOOD BAR & GRILL","1794 BLACK RIVER BOULEVARD,  ROME","03/17/2025","Item 11D-   Non food contact surfaces of equipment not clean;","0","0","1","Food Service Establishment - Food Service Establishment","Oneida County","ONEIDA","1794 BLACK RIVER BOULEVARD","ROME","13440","320111","ROME","APPLEBEE'S NEIGHBORHOOD BAR & GRILL","12/31/2025",,"TLC CENTRAL, LLC","BRANT","CLYDE","292318","Inspection",,"NY","(43.233372, -75.43737)"
"PEKING GARDEN","56 MAIN STREET,  BREWSTER","05/21/2025","Item 11D-   Non food contact surfaces of equipment not clean; Item 12D-   Toilet facilities inadequate, inconvenient, dirty, in disrepair, toilet paper missing, not self-closing doors, missing hand wash signs; Item 14A-   Insects, rodents present;","0","0","3","Food Service Establishment - Restaurant","Putnam County","PUTNAM","56 MAIN STREET","BREWSTER","10509","395500","SOUTHEAST","PEKING GARDEN","03/31/2026",,"PEKING GARDEN MAIN STREET, INC","LI","YUN MEI","299603","Inspection",,"NY","(41.394455, -73.618259)"
"MAROUN ELEMENTARY INTERMEDIATE","11 ELM STREET,  PHOENIX","04/04/2025","No violations found.","0","0","0","Institutional Food Service - School K-12 Food Service","Oswego County","OSWEGO","11 ELM STREET","PHOENIX","13135","372900","SCHROEPPEL","MAROUN ELEMENTARY INTERMEDIATE","02/28/2026","EJ DILLON MIDDLE SCHOOL","PHOENIX CENTRAL SCHOOL DISTRICT","BYRNE","CHRISTOPHER","296943","Inspection",,"NY","(43.234336, -76.294669)"
"MR. SUBB EGB","3 TROY ROAD,  EAST GREENBUSH","07/08/2025","No violations found.","0","0","0","Food Service Establishment - Restaurant","Rensselaer County","RENSSELAER","3 TROY ROAD","EAST GREENBUSH","12061","415200","E. GREENBUSH","MR. SUBB","02/28/2026",,"MR SUBB INC","POMPA","WILLIAM","301395","Inspection","No violations present at time of inspection","NY","(42.599658, -73.709238)"
"GENE'S FISH FRY","300 TROY ROAD,  RENSSELAER","08/12/2025","No violations found.","0","0","0","Food Service Establishment - Restaurant","Rensselaer County","RENSSELAER","300 TROY ROAD","RENSSELAER","12144","415200","E. GREENBUSH","GENE'S FISH FRY","02/28/2026",,,"HALSEY","MARK","301378","Inspection",,"NY","(42.644343, -73.698219)"
"DAMIEN CENTER-TROY UNITED MINISTRIES","392  SECOND STREET,  TROY","06/24/2025","No violations found.","0","0","0","Institutional Food Service - Nutrition for the Indigent","Rensselaer County","RENSSELAER","392  SECOND STREET","TROY","12180","410202","TROY","DAMIEN CENTER-TROY AREA UNITED MINISTRIES","12/31/2025",,"TROY AREA UNITED MINISTRIES","ELIA","DONNA","539253","Inspection","kitchen has had a new 3-bay sink, hand sink, and food prep sink installed since last inspection.","NY","(42.716358, -73.694735)"
"BETHESDA HOUSE OF SCHENECTADY, INC.","834 STATE STREET,  SCHENECTADY","03/13/2025","Item 10B-   Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish); Item 11B-   Wiping cloths dirty, not stored properly in sanitizing solutions;","0","0","2","Food Service Establishment - Food Service Establishment","Schenectady County","SCHENECTADY","834 STATE STREET","SCHENECTADY","12307","460100","SCHENECTADY","BETHESDA HOUSE OF SCHENECTADY","12/31/2025",,"BETHESDA HOUSE OF SCHENECTADY, INC.","SHEPPARD","KIMARIE","306706","Inspection",,"NY","(42.806304, -73.933414)"
"Middleburgh Lns & Cater","108 CHESTNUT  LANE,  MIDDLEBURGH","04/14/2025","No violations found.","0","0","0","Food Service Establishment - Food Service Establishment","Schoharie County","SCHOHARIE","108 CHESTNUT  LANE","MIDDLEBURGH","12122","472200","MIDDLEBURG","MIDDLEBURGH LANES and Catering","12/31/2025",,,"SHULTES","RICHARD & PAT","307283","Inspection",,"NY","(42.597997, -74.332885)"
"KFC","48 SOUTH ROUTE 9W,  WEST HAVERSTRAW","07/31/2025","Item 10A-   Food (ice) contact surfaces are improperly designed, constructed, installed, located (cracks, open seams, pitted surfaces, tin cans reused, uncleanable or corroded food contact surfaces); Item 10B-   Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish); Item 12E-   Handwashing facilities inaccessible, improperly located, dirty, in disrepair, improper fixtures, soap, and single service towels or hand drying devices missing; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces;","0","0","4","Food Service Establishment - Food Service Establishment","Rockland County","ROCKLAND","48 SOUTH ROUTE 9W","WEST HAVERSTRAW","10993","435100","HAVERSTRAW","KFC","04/30/2026","KFC/PIZZA HUT EXPRESS","C & B RESTAURANT CORP.","CAVEGN","JOSEPH","428217","Inspection","Violations discussed with N.I.|Please be aware that any violation of the NYS Sanitary Code subpart 14-1 may be subject to a civil penalty of up to $2,000 per day.","NY","(41.204268, -73.98402)"
"SKOI-YASE SCHOOL","65 FAYETTE STREET,  WATERLOO","04/07/2025","No violations found.","0","0","0","Institutional Food Service - School K-12 Food Service","Seneca  County","SENECA","65 FAYETTE STREET","WATERLOO","13165","492101","WATERLOO","SKOI-YASE SCHOOL","02/28/2026",,,"CENTRAL SCHOOLS","WATERLOO","308408","Inspection",,"NY","(42.896163, -76.863439)"
"V.F.W. POST 6433","29 WEST ELISHA STREET,  WATERLOO","03/28/2025","No violations found.","0","0","0","Food Service Establishment - Restaurant","Seneca  County","SENECA","29 WEST ELISHA STREET","WATERLOO","13165","492101","WATERLOO","V.F.W. POST 6433","04/30/2026",,,"POST 6433","V.F.W.","308404","Inspection",,"NY","(42.906601, -76.86627)"
"COCOA","2107A BOSTON POST ROAD,  LARCHMONT","04/08/2025","No violations found.","0","0","0","Food Service Establishment - Bakery","Westchester County","WESTCHESTER","2107A BOSTON POST ROAD","LARCHMONT","10538","592900","MAMARONECK","COCOA","09/30/2025","COCOA","ANGELA INGRAO, INC.","INGRAO","ANGELA","448959","Inspection","ALL MEASURED HOT AND COLD TEMPERATURES ADEQUATE AT THIS TIME. PEST CONTROL IS PROVIDER BY BUILDING OWNER, RECORDS ARE NOT KEPT ONSITE.","NY","(40.928236, -73.751502)"
"AMACKASSIN CLUB - BAR","557 PALISADE AVENUE,  YONKERS","07/11/2025","Item  8E-   Accurate thermometers not available or used to evaluate refrigerated or heated storage temperatures;","0","0","1","Food Service Establishment - Food Service Establishment","Westchester County","WESTCHESTER","557 PALISADE AVENUE","YONKERS","10703","590707","YONKERS","AMACKASSIN CLUB - BAR","06/30/2026","AMACKASSIN SNACK BAR","AMACKASSIN CLUB INC.","BELLO","RAYMOND","436709","Inspection",,"NY","(40.952873, -73.888633)"
